ID;Species;Interaction;Longitude;Latitude;Year_collect
294;Eulaema_cingulata;host;-67.8444;-9.985842;2016
295;Eulaema_cingulata;host;-67.82509;-10.054265;2016
296;Eulaema_cingulata;host;-67.79434;-10.039205;2016
299;Eulaema_cingulata;host;-45.534;-6.3756;2013
300;Eulaema_cingulata;host;-45.5358;-6.3832;2013
324;Eulaema_cingulata;host;-82.95;8.783333;2004
326;Eulaema_cingulata;host;-41.101111;-21.326667;2009
327;Eulaema_cingulata;host;-41.101111;-21.364722;2009
328;Eulaema_cingulata;host;-41.925;-21.391667;2009
329;Eulaema_cingulata;host;-41.917778;-21.375278;2009
330;Eulaema_cingulata;host;-41.926944;-21.381389;2009
331;Eulaema_cingulata;host;-41.920833;-21.386111;2009
332;Eulaema_cingulata;host;-42.065556;-22.072222;2009
333;Eulaema_cingulata;host;-42.066667;-22.076944;2009
334;Eulaema_cingulata;host;-42.078333;-22.075278;2009
340;Eulaema_cingulata;host;-34.84365;-7.138565;1993
341;Eulaema_cingulata;host;-34.85826;-7.144342;1993
342;Eulaema_cingulata;host;-59.8675;-24.1;1990
343;Eulaema_cingulata;host;-59.72778;-24.07222;1990
344;Eulaema_cingulata;host;-35.15833;-6.708333;2002
345;Eulaema_cingulata;host;-44.41667;-2.383333;1993
346;Eulaema_cingulata;host;-43.40333;-3.207778;2002
347;Eulaema_cingulata;host;-76.19;-5.97;1987
348;Eulaema_cingulata;host;-48.392574;-14.708453;2020
349;Eulaema_cingulata;host;-48.427412;-14.692013;2020
350;Eulaema_cingulata;host;-48.519187;-14.580647;2020
351;Eulaema_cingulata;host;-48.463502;-14.695329;2020
352;Eulaema_cingulata;host;-48.477435;-14.64332;2020
353;Eulaema_cingulata;host;-48.491194;-14.593538;2020
354;Eulaema_cingulata;host;-48.427159;-14.650908;2020
355;Eulaema_cingulata;host;-48.459192;-14.571565;2020
356;Eulaema_cingulata;host;-48.515557;-14.543641;2020
357;Eulaema_cingulata;host;-48.686099;-16.593084;2018
358;Eulaema_cingulata;host;-48.68205;-16.604177;2018
359;Eulaema_cingulata;host;-48.702863;-16.627408;2018
360;Eulaema_cingulata;host;-48.681486;-16.645698;2018
361;Eulaema_cingulata;host;-48.688161;-16.666451;2018
362;Eulaema_cingulata;host;-48.665484;-16.633793;2018
363;Eulaema_cingulata;host;-48.662395;-16.648962;2018
364;Eulaema_cingulata;host;-48.670326;-16.675782;2018
365;Eulaema_cingulata;host;-48.687045;-16.70475;2018
367;Eulaema_cingulata;host;-48.641782;-16.595829;2018
368;Eulaema_cingulata;host;-48.64922;-16.635922;2018
369;Eulaema_cingulata;host;-48.613206;-16.62795;2018
370;Eulaema_cingulata;host;-48.61614;-16.693683;2018
372;Eulaema_cingulata;host;-48.614269;-16.646598;2018
373;Eulaema_cingulata;host;-48.644692;-16.711065;2018
374;Eulaema_cingulata;host;-48.680797;-16.624281;2018
375;Eulaema_cingulata;host;-48.961388;-16.658713;2022
376;Eulaema_cingulata;host;-48.702988;-16.777559;2022
378;Eulaema_cingulata;host;-48.782637;-16.232645;2022
379;Eulaema_cingulata;host;-48.676128;-16.900799;2022
381;Eulaema_cingulata;host;-48.658817;-16.637314;2022
382;Eulaema_cingulata;host;-48.645154;-16.455305;2022
383;Eulaema_cingulata;host;-48.659754;-16.298102;2022
384;Eulaema_cingulata;host;-48.353051;-16.480097;2022
385;Eulaema_cingulata;host;-48.558472;-16.77745;2022
386;Eulaema_cingulata;host;-48.499836;-16.539749;2022
387;Eulaema_cingulata;host;-48.11254;-16.874803;2022
388;Eulaema_cingulata;host;-49.083228;-16.859235;2022
389;Eulaema_cingulata;host;-48.536123;-17.137657;2022
390;Eulaema_cingulata;host;-48.359673;-16.910688;2022
391;Eulaema_cingulata;host;-48.207314;-16.998645;2022
392;Eulaema_cingulata;host;-48.483138;-16.67145;2022
393;Eulaema_cingulata;host;-48.468664;-16.860203;2022
394;Eulaema_cingulata;host;-48.669093;-16.185056;2022
340;Eulaema_flavescens;host;-34.84365;-7.138565;1993
341;Eulaema_flavescens;host;-34.85826;-7.144342;1993
344;Eulaema_flavescens;host;-35.15833;-6.708333;2002
163;Eulaema_meriana;host;-92.316667;15.166667;2008
164;Eulaema_meriana;host;-83.583333;8.466667;2012
165;Eulaema_meriana;host;-83.583333;8.533333;2012
166;Eulaema_meriana;host;-83.583333;8.933333;2012
167;Eulaema_meriana;host;-82.933333;8.433333;2012
169;Eulaema_meriana;host;-64.053056;-8.875;2012
173;Eulaema_meriana;host;-47.60875;-14.31519;2012
180;Eulaema_meriana;host;-48.32472;-17.29139;2012
